让子弹飞,8.7,姜文,姜文 / 葛优 / 周润发,剧情 / 喜剧 / 动作 / 西部,中国大陆/香港,2010,65928,2010年12月16日,国产（合拍）
情圣,6.1,宋晓飞  / 董旭,肖央 / 闫妮 / 小沈阳,喜剧,中国大陆,2016,65861,2016年12月29日18点,国产
恶棍天使,4.0,俞白眉 / 邓超,邓超 / 孙俪 / 代乐乐,喜剧,中国大陆,2015,64892,2015年12月24日,国产
惊天魔盗团2 Now You See Me 2,6.5,朱浩伟,杰西·艾森伯格 / 马克·鲁弗洛 / 伍迪·哈里森,剧情 / 犯罪 / 悬疑,美国,2016,63760,2016年6月24日,进口
环太平洋：雷霆再起 Pacific Rim: Uprising,5.7,斯蒂文·S·迪奈特,约翰·博耶加 / 斯科特·伊斯特伍德 / 卡莉·史派妮,动作 / 科幻 / 冒险,美国/中国大陆,2018,63265,2018年3月23日,进口分账
后会无期,7.1,韩寒,冯绍峰 / 陈柏霖 / 钟汉良,剧情,中国大陆,2014,62982,2014年7月24日,国产
新木乃伊 The Mummy,4.8,艾里克斯·库兹曼,汤姆·克鲁斯 / 罗素·克劳 / 安娜贝拉·沃丽丝,动作 / 奇幻 / 冒险,美国,2017,62564,2017年06月09日,进口分账
蝙蝠侠大战超人：正义黎明 Batman v Superman: Dawn of Justice,6.6,扎克·施奈德,本·阿弗莱克 / 亨利·卡维尔 / 艾米·亚当斯,动作 / 科幻 / 奇幻 / 冒险,美国,2016,61908,2016年3月25日,进口分账
末日崩塌 San Andreas,7.0,布拉德·佩顿,道恩·强森 / 亚历珊德拉·达达里奥 / 卡拉·古奇诺,动作 / 冒险 / 灾难,美国/澳大利亚,2015,61345,2015年6月2日,进口分账
功夫熊猫2 Kung Fu Panda 2,8.0,吕寅荣,杰克·布莱克 / 安吉丽娜·朱莉 / 达斯汀·霍夫曼,喜剧 / 动作 / 动画 / 冒险,美国,2011,61340,2011年5月28日,进口分账
神奇女侠 Wonder Woman,7.1,派蒂·杰金斯,盖尔·加朵 / 克里斯·派恩 / 康妮·尼尔森,动作 / 奇幻 / 冒险,美国,2017,61012,2017年06月02日,进口分账
金陵十三钗,8.0,张艺谋,克里斯蒂安·贝尔 / 倪妮 / 张歆怡,剧情 / 历史 / 战争,中国大陆/香港,2011,60923,2011年12月15日,国产
一条狗的使命 A Dog&#39;s Purpose,7.7,拉斯·霍尔斯道姆,乔什·加德 / 布丽特·罗伯森 / 丹尼斯·奎德,剧情 / 喜剧 / 家庭,美国,2017,60808,2017年03月03日,进口
使徒行者,6.7,文伟鸿,张家辉 / 古天乐 / 吴镇宇,剧情 / 动作 / 犯罪,中国大陆/香港,2016,60611,2016年8月11日,国产（合拍）
熊出没·变形记,6.9,丁亮 / 林汇达,张伟 / 张秉君 / 谭笑,喜剧 / 动画 / 冒险,中国大陆,2018,60532,2018年2月16日,国产
狄仁杰之神都龙王,6.5,徐克,赵又廷 / 冯绍峰 / 林更新,动作 / 犯罪 / 悬疑 / 古装,中国大陆/香港,2013,60273,2013年9月28日,国产
2012,7.7,罗兰·艾默里奇,约翰·库萨克 / 切瓦特·埃加福特 / 阿曼达·皮特,动作 / 科幻 / 冒险 / 灾难,美国/加拿大,2009,60223,2009年11月13日&amp;2012年11月20日（3D版重映）,进口分账
银河护卫队 Guardians of the Galaxy,8.0,詹姆斯·古恩,克里斯·帕拉特 / 佐伊·索尔达娜 / 布莱德利·库珀,动作 / 科幻 / 冒险,美国/英国,2014,59297,2014年10月10日,进口分账
神奇动物在哪里 Fantastic Beasts and Where to Find Them,7.8,大卫·叶茨,埃迪·雷德梅恩 / 凯瑟琳·沃特斯顿 / 丹·福勒,剧情 / 奇幻 / 冒险,英国/美国,2016,59170,2016年11月25日,进口分账
美女与野兽 Beauty and the Beast,7.2,比尔·康顿,艾玛·沃森 / 丹·史蒂文斯 / 卢克·伊万斯,爱情 / 奇幻 / 歌舞,美国,2017,59165,2017年03月17日,进口分账
超凡蜘蛛侠2 The Amazing Spider-Man 2,7.3,马克·韦布,安德鲁·加菲尔德 / 艾玛·斯通 / 杰米·福克斯,动作 / 科幻 / 冒险,美国,2014,59087,2014年5月4日,进口分账
火星救援 The Martian,8.4,雷德利·斯科特,马特·达蒙 / 杰西卡·查斯坦 / 克里斯汀·韦格,剧情 / 科幻 / 冒险,美国/英国,2015,57815,2015年11月25日,进口分账
追龙 追龍,7.4,王晶 / 关智耀,甄子丹 / 刘德华 / 姜皓文,动作 / 犯罪,香港/中国大陆,2017,57721,2017年09月30日,国产（合拍）
你的名字。 君の名は。,8.4,新海诚,神木隆之介 / 上白石萌音 / 长泽雅美,剧情 / 爱情 / 动画,日本,2016,57666,2016年12月2日,进口
匆匆那年,5.3,张一白,彭于晏 / 倪妮 / 郑恺,爱情,中国大陆,2014,57480,2014年12月5日,国产
少年派的奇幻漂流 Life of Pi,9.0,李安,苏拉·沙玛 / 伊尔凡·可汗 / 拉菲·斯波,剧情 / 奇幻 / 冒险,美国/台湾/英国/加拿大,2012,57105,2012年11月22日,进口分账
复仇者联盟 The Avengers,8.0,乔斯·韦登,小罗伯特·唐尼 / 克里斯·埃文斯 / 斯嘉丽·约翰逊,动作 / 科幻 / 奇幻 / 冒险,美国,2012,56792,2012年5月5日,进口分账
大鱼海棠,6.6,梁旋 / 张春,季冠霖 / 苏尚卿 / 许魏洲,剧情 / 动画 / 奇幻,中国大陆,2016,56547,2016年7月8日,国产
杀破狼2 殺破狼2,7.3,郑保瑞,吴京 / 托尼·贾 / 张晋,剧情 / 动作 / 犯罪,香港/中国大陆,2015,56013,2015年6月18日,国产（合拍）
龙门飞甲,6.7,徐克,李连杰 / 周迅 / 陈坤,动作 / 武侠 / 古装,中国大陆/香港,2011,55596,2011年12月15日,国产（合拍）
战狼,6.8,吴京,吴京 / 余男 / 斯科特·阿金斯,动作 / 战争,中国大陆,2015,54436,2015年4月2日,国产
英伦对决 The Foreigner,7.1,马丁·坎贝尔,成龙 / 皮尔斯·布鲁斯南 / 刘涛,动作 / 犯罪,英国/中国大陆,2017,53980,2017年09月30日,国产（合拍）
中国合伙人,7.6,陈可辛,黄晓明 / 邓超 / 佟大为,剧情,中国大陆/香港,2013,53922,2013年5月17日,国产（合拍）
007：幽灵党 Spectre,6.2,萨姆·门德斯,丹尼尔·克雷格 / 克里斯托弗·沃尔兹 / 蕾雅·赛杜,动作 / 惊悚 / 冒险,英国/美国,2015,53724,2015年11月13日,进口分账
警察故事2013,5.7,丁晟,成龙 / 刘烨 / 景甜,剧情 / 动作 / 犯罪,中国大陆/香港,2013,53591,2013年12月24日,国产
三生三世十里桃花,3.9,赵小丁 / 安东尼·拉默里纳拉,刘亦菲 / 杨洋 / 罗晋,爱情 / 奇幻,中国大陆,2017,53478,2017年08月03日（14:00）,国产
哆啦A梦：伴我同行 STAND BY ME ドラえもん,7.9,八木龙一 / 山崎贵,水田山葵 / 大原惠美 / 嘉数由美,剧情 / 动画,日本,2014,53411,2015年5月28日,进口
妖猫传,7.0,陈凯歌,黄轩 / 染谷将太 / 张雨绮,剧情 / 悬疑 / 奇幻 / 古装,中国大陆/日本,2017,52999,2017年12月22日,国产（合拍）
超能陆战队 Big Hero 6,8.6,唐·霍尔 / 克里斯·威廉姆斯,斯科特·安第斯 / 瑞恩·波特 / 丹尼尔·海尼,喜剧 / 动作 / 科幻 / 动画 / 冒险,美国,2014,52668,2015年2月28日,进口分账
澳门风云 賭城風雲,5.6,王晶 / 钟少雄,周润发 / 谢霆锋 / 杜汶泽,喜剧 / 动作,中国大陆/香港,2014,52496,2014年1月31日,国产
杀破狼·贪狼 殺破狼‧貪狼,7.2,叶伟信,古天乐 / 吴樾 / 托尼·贾,剧情 / 动作,香港/中国大陆,2017,52269,2017年08月17日,国产（合拍）
熊出没·奇幻空间,6.4,林永长 / 林汇达 / 丁亮,尚雯婕 / 鲍春来 / 孙建宏,儿童 / 动画,中国大陆,2017,52248,2017年1月28日,国产
小时代3：刺金时代,4.3,郭敬明,杨幂 / 柯震东 / 郭采洁,剧情 / 喜剧 / 爱情,中国大陆/台湾,2014,52245,2014年7月17日,国产
北京遇上西雅图,7.4,薛晓路,汤唯 / 吴秀波 / 海清,喜剧 / 爱情,中国大陆/香港,2013,52000,2013年3月21日,国产
一步之遥,6.3,姜文,姜文 / 葛优 / 周韵,剧情 / 喜剧 / 动作,中国大陆/美国/香港,2014,51566,2014年12月18日,国产（合拍）
愤怒的小鸟 Angry Birds,7.0,费格尔·雷利 / 克雷·卡提斯,杰森·苏戴奇斯 / 乔什·加德 / 丹尼·麦克布莱德,喜剧 / 动画 / 冒险,芬兰/美国,2016,51383,2016年5月20日,进口分账
滚蛋吧！肿瘤君,7.4,韩延,白百何 / 吴彦祖 / 李媛,喜剧 / 爱情,中国大陆,2015,51072,2015年8月13日,国产
